title: Wind Of Change | artist: Scorpions | time: 4:44 | link: www.youtube.com/watch?v=n4RjJKxsamQ
title: Shoot To Thrill | artist: AC/DC | time: 5:33 | link: www.youtube.com/watch?v=xRQnJyP77tY
title: Simple Man | artist: Lynyrd Skynyrd | time: 7:40 | link: www.youtube.com/watch?v=sHQ_aTjXObs
title: Runaway | artist: Bon Jovi | time: 4:19 | link: www.youtube.com/watch?v=s86K-p089R8
title: Uptown Girl | artist: Billy Joel | time: 3:23 | link: www.youtube.com/watch?v=hCuMWrfXG4E
title: You Shook Me All Night Long | artist: AC/DC | time: 4:25 | link: www.youtube.com/watch?v=zakKvbIQ28o
title: We Didn't Start the Fire | artist: Billy Joel | time: 4:06 | link: www.youtube.com/watch?v=eFTLKWw542g
title: Have You Ever Really Loved A Woman? | artist: Bryan Adams | time: 4:57 | link: www.youtube.com/watch?v=hq2KgzKETBw
title: I say a little prayer | artist: Aretha Franklin | time: 3:34 | link: www.youtube.com/watch?v=KtBbyglq37E
title: Never Say Goodbye | artist: Bon Jovi | time: 4:54 | link: www.youtube.com/watch?v=ifm00JEjSeo
title: Free Bird HD | artist: Lynyrd Skynyrd | time: 9:03 | link: www.youtube.com/watch?v=np0solnL1XY
title: Since I Don't Have You | artist: Guns N' Roses | time: 4:29 | link: www.youtube.com/watch?v=IYOYlqOitDA
title: All Apologies | artist: Nirvana | time: 3:39 | link: www.youtube.com/watch?v=aWmkuH1k7uA
title: Dude | artist: Aerosmith | time: 4:24 | link: www.youtube.com/watch?v=nf0oXY4nDxE
title: Perfect Strangers | artist: Deep Purple | time: 5:25 | link: www.youtube.com/watch?v=gZ_kez7WVUU
title: I'm Still Standing | artist: Elton John | time: 3:05 | link: www.youtube.com/watch?v=ZHwVBirqD2s
title: Roundabout | artist: Yes | time: 8:37 | link: www.youtube.com/watch?v=-Tdu4uKSZ3M
title: The Unforgiven II | artist: Metallica | time: 6:37 | link: www.youtube.com/watch?v=G-Bn_kD6QN4
title: Open Your Heart | artist: Europe | time: 4:04 | link: www.youtube.com/watch?v=qX4LC1HBmag
title: Believe In Love | artist: Scorpions | time: 4:05 | link: www.youtube.com/watch?v=FQSZWAStqcY
title: I Heard It Through The Grapevine | artist: Marvin Gaye | time: 3:20 | link: www.youtube.com/watch?v=hajBdDM2qdg
title: Jealous Guy | artist: John Lennon | time: 4:18 | link: www.youtube.com/watch?v=6lLs2dC9NaE
title: Love Of My Life | artist: Queen | time: 3:42 | link: www.youtube.com/watch?v=sUJkCXE4sAA
title: Your Song | artist: Elton John | time: 4:51 | link: www.youtube.com/watch?v=mBCVEcjScTQ
title: Alive | artist: Pearl Jam | time: 5:42 | link: www.youtube.com/watch?v=wGiTPgvKktM
title: The Day That Never Comes | artist: Metallica | time: 8:25 | link: www.youtube.com/watch?v=mRitfbhITLM
title: Humanity | artist: Scorpions | time: 3:47 | link: www.youtube.com/watch?v=0755SXCTCN0
title: Under The Same Sun | artist: Scorpions | time: 4:40 | link: www.youtube.com/watch?v=MwyXnft6ZVk
title: Rock You Like A Hurricane | artist: Scorpions | time: 4:15 | link: www.youtube.com/watch?v=6yP1tcy9a10
title: What Could Have Been Love | artist: Aerosmith | time: 4:15 | link: www.youtube.com/watch?v=d7lCZ0rpH3o
title: Can't Stop Loving You | artist: Van Halen | time: 4:11 | link: www.youtube.com/watch?v=dFNdhm3mli0
title: Thunder On The Mountain | artist: Bob Dylan | time: 4:01 | link: www.youtube.com/watch?v=0RPkJeziNyI
title: Lets Get It On | artist: Marvin Gaye | time: 4:02 | link: www.youtube.com/watch?v=18TLHhhHZCA
title: Born To Run | artist: Bruce Springsteen | time: 4:32 | link: www.youtube.com/watch?v=f3t9SfrfDZM
title: Fly By Night | artist: Rush | time: 3:20 | link: www.youtube.com/watch?v=nEVDZl5UvN4
title: Smoke On The Water | artist: Deep Purple | time: 6:11 | link: www.youtube.com/watch?v=s1sAkZF7SCQ
title: Blue Sky | artist: Allman Brothers Band | time: 7:16 | link: www.youtube.com/watch?v=G1jpQu6qR1E
title: Must Be Santa | artist: Bob Dylan | time: 2:50 | link: www.youtube.com/watch?v=a8qE6WQmNus
title: Owner Of A Lonely Heart | artist: Yes | time: 4:25 | link: www.youtube.com/watch?v=lsx3nGoKIN8
title: One More Shot | artist: The Rolling Stones | time: 3:11 | link: www.youtube.com/watch?v=iecBKNWn6hc
title: Yesterday | artist: The Beatles | time: 2:06 | link: www.youtube.com/watch?v=CRNn5nR2Yco
title: Doom and Gloom | artist: The Rolling Stones | time: 4:25 | link: www.youtube.com/watch?v=4Fn8BQPBir0
title: Strawberry Fields Forever | artist: The Beatles | time: 4:12 | link: www.youtube.com/watch?v=JzcZttcpYFQ
title: Mississippi Queen | artist: Mountain | time: 2:33 | link: www.youtube.com/watch?v=GGG_IaQowU4
title: Hey Jude | artist: The Beatles | time: 7:04 | link: www.youtube.com/watch?v=ui9JzEPEdp8
title: Hey Baby | artist: No Doubt | time: 3:28 | link: www.youtube.com/watch?v=wt1YkGO2Ieo
title: Hey Ya! | artist: OutKast | time: 5:03 | link: www.youtube.com/watch?v=PWgvGjAhvIw
title: Gold Digger | artist: Kanye West | time: 3:42 | link: www.youtube.com/watch?v=6vwNcNOTVzY
title: Bent | artist: Matchbox Twenty | time: 4:08 | link: www.youtube.com/watch?v=969RAKkYESU
title: Kryptonite | artist: 3 Doors Down | time: 3:55 | link: www.youtube.com/watch?v=xPU8OAjjS4k
title: The Next Episode | artist: Dr. Dre | time: 3:20 | link: www.youtube.com/watch?v=QZXc39hT8t4
title: Crash and Burn | artist: Savage Garden | time: 3:47 | link: www.youtube.com/watch?v=W60IPexop30
title: Everything You Want | artist: Vertical Horizon | time: 4:05 | link: www.youtube.com/watch?v=rZoD8JEFjAE
title: Photograph | artist: Nickelback | time: 4:22 | link: www.youtube.com/watch?v=T3rXdeOvhNE
title: This I Promise You | artist: *NSYNC | time: 4:24 | link: www.youtube.com/watch?v=6thmPrTxBtI
title: Most Girls | artist: P!nk | time: 4:32 | link: www.youtube.com/watch?v=UWJ_P-TdEJ0
title: Fighter | artist: Christina Aguilera | time: 4:06 | link: www.youtube.com/watch?v=PstrAfoMKlc
title: Lady Marmalade | artist: Christina Aguilera, Lil' Kim, Mya, Pink | time: 4:34 | link: www.youtube.com/watch?v=RQa7SvVCdZk
title: Superwoman | artist: Lil' Mo | time: 4:28 | link: www.youtube.com/watch?v=jGsnfWyjBzM
title: My Immortal | artist: Evanescence | time: 4:33 | link: www.youtube.com/watch?v=5anLPw0Efmo
title: The Reason | artist: Hoobastank | time: 4:11 | link: www.youtube.com/watch?v=fV4DiAyExN0
title: Wake Me Up When September Ends | artist: Green Day | time: 7:13 | link: www.youtube.com/watch?v=NU9JoFKlaZ0
title: My Humps | artist: The Black Eyed Peas | time: 3:54 | link: www.youtube.com/watch?v=iEe_eraFWWs
title: Don't Cha | artist: The Pussycat Dolls | time: 4:43 | link: www.youtube.com/watch?v=YNSxNsr4wmA
title: Numb/Encore | artist: Linkin Park & Jay Z | time: 3:34 | link: www.youtube.com/watch?v=DLlF2FMv968
title: Let Me Blow Ya Mind | artist: Eve | time: 4:15 | link: www.youtube.com/watch?v=Wt88GMJmVk0
title: I'm Like A Bird | artist: Nelly Furtado | time: 4:04 | link: www.youtube.com/watch?v=roPQ_M3yJTA
title: A Thousand Miles | artist: Vanessa Carlton | time: 4:29 | link: www.youtube.com/watch?v=Cwkej79U3ek
title: Complicated | artist: Avril Lavigne | time: 4:13 | link: www.youtube.com/watch?v=5NPBIwQyPWE
title: With Arms Wide Open | artist: Creed | time: 3:53 | link: www.youtube.com/watch?v=99j0zLuNhi8
title: You And Me | artist: Lifehouse | time: 3:37 | link: www.youtube.com/watch?v=ac3HkriqdGQ
title: Let Me Love You | artist: Mario | time: 4:27 | link: www.youtube.com/watch?v=H64QG4UsrGI
title: Dilemma | artist: Nelly | time: 4:43 | link: www.youtube.com/watch?v=8WYHDfJDPDc
title: On The Way Down | artist: Ryan Cabrera | time: 3:35 | link: www.youtube.com/watch?v=RWwdh6FGL4M
title: Pieces Of Me | artist: Ashlee Simpson | time: 3:18 | link: www.youtube.com/watch?v=WJCsyLUCSXI
title: My Happy Ending | artist: Avril Lavigne | time: 4:01 | link: www.youtube.com/watch?v=s8QYxmpuyxg
title: Without Me | artist: Eminem | time: 5:00 | link: www.youtube.com/watch?v=YVkUvmDQ3HY
title: In Da Club | artist: 50 Cent | time: 4:10 | link: www.youtube.com/watch?v=5qm8PH4xAss
title: Get Over Yourself | artist: Eden's Crush | time: 3:35 | link: www.youtube.com/watch?v=mHdCSLeS2rc
title: I Just Wanna Love U | artist: JAY-Z | time: 3:59 | link: www.youtube.com/watch?v=nG8o_9RliwU
title: No More | artist: 3LW | time: 4:06 | link: www.youtube.com/watch?v=drvS9w-lTMc
title: If I Could Go Feat Sacario & Lil' Mo | artist: Angie Martinez | time: 4:06 | link: www.youtube.com/watch?v=ePmt1tFDtW8
title: Ride Wit Me | artist: Nelly | time: 4:46 | link: www.youtube.com/watch?v=RtSDWq6HsJE
title: Thong Song | artist: Sisqo | time: 4:37 | link: www.youtube.com/watch?v=Oai1V7kaFBk
title: Shake Ya Tailfeather | artist: P. Diddy | time: 5:46 | link: www.youtube.com/watch?v=bG7DBO0k5lA
title: Gotta Get Thru This. 2002 | artist: Daniel Bedingfield | time: 3:29 | link: www.youtube.com/watch?v=DwNJq9AjlD4
title: Heaven | artist: DJ Sammy feat. Yanou & Do | time: 3:57 | link: www.youtube.com/watch?v=rogM1w6lfBM
title: Try Again | artist: Aaliyah | time: 3:57 | link: www.youtube.com/watch?v=aRcAvsZgjXA
title: Crazy In Love | artist: Beyoncé | time: 3:56 | link: www.youtube.com/watch?v=ViwtNLUqkMY
title: Rich Girl | artist: Gwen Stefani | time: 4:06 | link: www.youtube.com/watch?v=9rlNpWYQunY
title: Get Right | artist: Jennifer Lopez | time: 5:04 | link: www.youtube.com/watch?v=1WIsnC-h1d0
title: Lose My Breath | artist: Destiny's Child | time: 3:39 | link: www.youtube.com/watch?v=AqeIiF0DlTg
title: Whenever, Wherever | artist: Shakira | time: 3:18 | link: www.youtube.com/watch?v=weRHyjj34ZE
title: Thank God I Found You | artist: Mariah Carey, Joe, 98 Degrees | time: 4:44 | link: www.youtube.com/watch?v=7KVxjQUCyn0
title: Hit 'Em Up Style | artist: Blu Cantrell | time: 3:41 | link: www.youtube.com/watch?v=LMOKlXfXn50
title: What Would You Do? | artist: City High | time: 3:20 | link: www.youtube.com/watch?v=LahcSFleKm8
title: Don't Let Me Get Me | artist: P!nk | time: 3:31 | link: www.youtube.com/watch?v=asaCQOZpqUQ
title: He Loves U Not | artist: DREAM | time: 3:53 | link: www.youtube.com/watch?v=IDjI3SD4Cr4
title: Californication | artist: Red Hot Chili Peppers | time: 5:22 | link: www.youtube.com/watch?v=YlUKcNNmywk
title: Love Don't Cost a Thing | artist: Jennifer Lopez | time: 5:08 | link: www.youtube.com/watch?v=4kGvlESGvbs
title: It's My Life | artist: No Doubt | time: 3:51 | link: www.youtube.com/watch?v=ubvV498pyIM
title: Can't Hold Us Down | artist: Christina Aguilera | time: 4:32 | link: www.youtube.com/watch?v=dg8QgUIKXHw
title: What's Luv? | artist: Fat Joe | time: 3:51 | link: www.youtube.com/watch?v=VpvyG2NrS1Y
title: Beautiful | artist: Snoop Dogg | time: 5:29 | link: www.youtube.com/watch?v=_FE194VN6c4
title: Shake It Fast | artist: Mystikal | time: 4:18 | link: www.youtube.com/watch?v=Vb2mnDp68S0
title: Right Thurr | artist: Chingy | time: 3:12 | link: www.youtube.com/watch?v=Y2aDHUa35FE
title: Big Pimpin' | artist: JAY-Z | time: 5:07 | link: www.youtube.com/watch?v=Cgoqrgc_0cM
title: Country Grammar | artist: Nelly | time: 3:48 | link: www.youtube.com/watch?v=Y5qKNlcUwKs
title: Southern Hospitality | artist: Ludacris | time: 4:56 | link: www.youtube.com/watch?v=2QWQVm9J5DM
title: One Minute Man | artist: Missy Elliott | time: 4:13 | link: www.youtube.com/watch?v=XayUCLgxS5c
title: Peaches And Cream | artist: 112 | time: 3:39 | link: www.youtube.com/watch?v=wl2NCXzg1FQ
title: I Need A Girl Part 1 | artist: P. Diddy | time: 3:50 | link: www.youtube.com/watch?v=zXYb1OMhwBA
title: Can't Let You Go | artist: Fabolous | time: 4:30 | link: www.youtube.com/watch?v=z4gXkpt6jPE
title: Hotel | artist: Cassidy | time: 4:09 | link: www.youtube.com/watch?v=MKOT6teSarY
title: Lights, Camera, Action! | artist: Mr.Cheeks | time: 4:12 | link: www.youtube.com/watch?v=Y3ewqjk64mU
title: Freek-A-Leek | artist: Petey Pablo | time: 3:42 | link: www.youtube.com/watch?v=M48nlk-1kH8
title: Again | artist: Lenny Kravitz | time: 4:34 | link: www.youtube.com/watch?v=eW2qlKa6oHw
title: Underneath It All | artist: No Doubt | time: 4:20 | link: www.youtube.com/watch?v=RvuVFHTvdaY
title: Angel | artist: Shaggy | time: 3:57 | link: www.youtube.com/watch?v=XWJrPzAUzAs
title: Here's To The Night | artist: Eve 6 | time: 4:03 | link: www.youtube.com/watch?v=X5DOGsoiW6c
title: In The End | artist: Linkin Park | time: 3:38 | link: www.youtube.com/watch?v=eVTXPUF4Oz4
title: Boulevard Of Broken Dreams | artist: Green Day | time: 4:48 | link: www.youtube.com/watch?v=Soa3gO7tL-c
title: Follow Me | artist: Uncle Kracker | time: 3:50 | link: www.youtube.com/watch?v=0Gjx-ZQuQ_Y
title: Breakaway | artist: Kelly Clarkson | time: 3:56 | link: www.youtube.com/watch?v=c-3vPxKdj6o
title: Mr. Brightside | artist: The Killers | time: 3:48 | link: www.youtube.com/watch?v=gGdGFtwCNBE
title: Sing For The Moment | artist: Eminem | time: 5:28 | link: www.youtube.com/watch?v=D4hAVemuQXY
title: Rock The Boat HD | artist: Aaliyah | time: 4:53 | link: www.youtube.com/watch?v=WVMcIEPZ9YY
title: South Side | artist: Moby | time: 3:49 | link: www.youtube.com/watch?v=GXKg0sNTKXE
title: Drive | artist: Incubus | time: 3:54 | link: www.youtube.com/watch?v=fgT9zGkiLig
title: Drift Away album version audio | artist: Uncle Kracker | time: 4:17 | link: www.youtube.com/watch?v=A69BertdSt4
title: Turn Off The Light | artist: Nelly Furtado | time: 4:02 | link: www.youtube.com/watch?v=kOL7aeIDruA
title: These Words | artist: Natasha Bedingfield | time: 3:41 | link: www.youtube.com/watch?v=e5RuGj0g1tk
title: Beautiful Soul | artist: Jesse McCartney | time: 3:24 | link: www.youtube.com/watch?v=ek2PDE1cAyY
title: Just Like A Pill | artist: P!nk | time: 3:59 | link: www.youtube.com/watch?v=JDKGWaCglRM
title: This Love | artist: Maroon 5 | time: 3:23 | link: www.youtube.com/watch?v=XPpTgCho5ZA
title: Family Affair | artist: Mary J. Blige | time: 3:44 | link: www.youtube.com/watch?v=znlFu_lemsU
title: Unwell | artist: Matchbox Twenty | time: 3:48 | link: www.youtube.com/watch?v=WziA88-n02k
title: Excuse Me Miss | artist: JAY-Z | time: 4:29 | link: www.youtube.com/watch?v=tnDh0JhmaFw
title: Cry Me A River | artist: Justin Timberlake | time: 4:51 | link: www.youtube.com/watch?v=DksSPZTZES0
title: Case Of The Ex | artist: Mya | time: 4:17 | link: www.youtube.com/watch?v=0sq14JocSAs
title: He Wasn't Man Enough | artist: Toni Braxton | time: 4:39 | link: www.youtube.com/watch?v=9_hKXk2qSuw
title: Dance With My Father | artist: Luther Vandross | time: 4:20 | link: www.youtube.com/watch?v=wmDxJrggie8
title: Drops of Jupiter | artist: Train | time: 4:17 | link: www.youtube.com/watch?v=7Xf-Lesrkuc
title: If You're Gone | artist: Matchbox Twenty | time: 4:36 | link: www.youtube.com/watch?v=clKAdQnwJ7A
title: Here Without You | artist: 3 Doors Down | time: 3:56 | link: www.youtube.com/watch?v=kPBzTxZQG5Q
title: Are You Gonna Be My Girl | artist: Jet | time: 3:35 | link: www.youtube.com/watch?v=tuK6n2Lkza0
title: Sugar, We're Goin Down | artist: Fall Out Boy | time: 4:01 | link: www.youtube.com/watch?v=euLlKUvll7E
title: Scars | artist: Papa Roach | time: 3:29 | link: www.youtube.com/watch?v=eHbNU9WuVgw
title: Jaded | artist: Aerosmith | time: 3:49 | link: www.youtube.com/watch?v=qbexOeoH5hg
title: When I'm Gone | artist: 3 Doors Down | time: 4:28 | link: www.youtube.com/watch?v=pFq1eT9tMJ4
title: Candy Shop | artist: 50 Cent | time: 4:11 | link: www.youtube.com/watch?v=SRcnnId15BA
title: Hollaback Girl | artist: Gwen Stefani | time: 3:28 | link: www.youtube.com/watch?v=Kgjkth6BRRY
title: He Can't Love U | artist: Jagged Edge | time: 3:47 | link: www.youtube.com/watch?v=vgqNtGVYQgc
title: Crazy for This Girl | artist: Evan And Jaron | time: 3:24 | link: www.youtube.com/watch?v=NZkM_nOJ3d4
title: Just The Girl | artist: The Click Five | time: 4:25 | link: www.youtube.com/watch?v=uQBu5whSgC4
title: I Wanna Know | artist: Joe | time: 5:16 | link: www.youtube.com/watch?v=dJ8VjyPw0qY
title: Danger | artist: Mystikal | time: 3:36 | link: www.youtube.com/watch?v=ZHrV51GOPkE
title: Still Fly | artist: Big Tymers | time: 4:27 | link: www.youtube.com/watch?v=9iCd6UHR-3I
title: Jumpin', Jumpin' | artist: Destiny's Child | time: 3:28 | link: www.youtube.com/watch?v=Vjw92oUduEM
title: Bounce With Me | artist: Lil Bow Wow | time: 2:56 | link: www.youtube.com/watch?v=RzRgScHpMGg
title: Rock Your Body | artist: Justin Timberlake | time: 4:58 | link: www.youtube.com/watch?v=TSVHoHyErBQ
title: Play | artist: Jennifer Lopez | time: 3:36 | link: www.youtube.com/watch?v=tFuw-YZaTNo
title: Frontin' | artist: Pharrell | time: 4:11 | link: www.youtube.com/watch?v=LOtkH5amC7s
title: Never Leave You | artist: Lumidee | time: 4:03 | link: www.youtube.com/watch?v=TBGUFzGnsII
title: Like Glue | artist: Sean Paul | time: 4:16 | link: www.youtube.com/watch?v=0zZ2bifb338
title: From The Bottom Of My Broken Heart | artist: Britney Spears | time: 4:31 | link: www.youtube.com/watch?v=fHPnGqXXUmI
title: I Turn To You | artist: Christina Aguilera | time: 4:04 | link: www.youtube.com/watch?v=z4q05resEvc
title: All Or Nothing | artist: O-Town | time: 4:13 | link: www.youtube.com/watch?v=TG8IkUoZ6j0
title: Never Had A Dream Come True | artist: S Club 7 | time: 3:59 | link: www.youtube.com/watch?v=Tnow8LJCVPM
title: Then The Morning Comes | artist: Smash Mouth | time: 3:11 | link: www.youtube.com/watch?v=cB9JJIoAdYM
title: It's Gonna Be Me | artist: *NSYNC | time: 3:24 | link: www.youtube.com/watch?v=GQMlWwIXg3M
title: Hot In Herre | artist: Nelly | time: 4:07 | link: www.youtube.com/watch?v=GeZZr_p6vB8
title: Irresistible | artist: Jessica Simpson | time: 3:13 | link: www.youtube.com/watch?v=-qCDypgAV_E
title: Bye Bye Bye | artist: *NSYNC | time: 4:02 | link: www.youtube.com/watch?v=Eo-KmOd3i7s
title: Party Up | artist: DMX | time: 3:57 | link: www.youtube.com/watch?v=thIVtEOtlWM
title: Oops!...I Did It Again | artist: Britney Spears | time: 4:12 | link: www.youtube.com/watch?v=CduA0TULnow
title: What A Girl Wants | artist: Christina Aguilera | time: 4:06 | link: www.youtube.com/watch?v=hpspGHeLOPE
title: Give Me Just One Night | artist: 98º | time: 3:38 | link: www.youtube.com/watch?v=PYb2IdrN-ns
title: Dani California | artist: Red Hot Chili Peppers | time: 4:48 | link: www.youtube.com/watch?v=Sb5aq5HcS1A
title: Tipsy | artist: J-Kwon | time: 3:59 | link: www.youtube.com/watch?v=VwXeN2FsE7w
title: How You Gonna Act Like That | artist: Tyrese | time: 4:08 | link: www.youtube.com/watch?v=y3HbIHGnSR4
title: E.I. | artist: Nelly | time: 4:21 | link: www.youtube.com/watch?v=mNaMR8AyeWc
title: Salt Shaker | artist: Ying Yang Twins | time: 4:01 | link: www.youtube.com/watch?v=aJEzl31zL-I
title: I Need a Girl Part 2 | artist: P. Diddy | time: 5:07 | link: www.youtube.com/watch?v=zGUttrXgzLI
title: Lean Back | artist: Terror Squad | time: 4:42 | link: www.youtube.com/watch?v=ajmI1P3r1w4
title: Nothin' | artist: N.O.R.E. | time: 5:00 | link: www.youtube.com/watch?v=sul16s0VSzs
title: I'm A Thug | artist: Trick Daddy | time: 5:11 | link: www.youtube.com/watch?v=ILCNAln_7Z4
title: Get Ur Freak On | artist: Missy Elliott | time: 4:05 | link: www.youtube.com/watch?v=FPoKiGQzbSQ
title: Stand Up | artist: Ludacris | time: 3:36 | link: www.youtube.com/watch?v=pZG7IK99OvI
title: Always On Time | artist: Ja Rule | time: 4:05 | link: www.youtube.com/watch?v=0tcDXJfAFVw
title: 21 Questions | artist: 50 Cent | time: 4:20 | link: www.youtube.com/watch?v=cDMhlvbOFaM
title: Holidae In | artist: Chingy Featuring Ludacris And Snoop Dogg | time: 4:38 | link: www.youtube.com/watch?v=GmKjTC8yDFM
title: Gigolo | artist: Nick Cannon | time: 4:09 | link: www.youtube.com/watch?v=ENDHD47-8-M
title: Get Low | artist: Lil Jon & The East Side Boyz | time: 4:31 | link: www.youtube.com/watch?v=IYH7_GzP4Tg
title: Damn! | artist: YoungBloodZ | time: 4:10 | link: www.youtube.com/watch?v=-ro8eaplsV8
title: I Can | artist: Nas | time: 4:27 | link: www.youtube.com/watch?v=RvVfgvHucRY
title: Splash Waterfalls | artist: Ludacris | time: 4:09 | link: www.youtube.com/watch?v=w_sTTvyiiPo
title: Don't Lie | artist: The Black Eyed Peas | time: 3:46 | link: www.youtube.com/watch?v=WbJNkH-pDd8
title: Feel Good Inc. | artist: Gorillaz | time: 4:14 | link: www.youtube.com/watch?v=HyHNuVaZJ-k
title: I Knew I Loved You | artist: Savage Garden | time: 3:50 | link: www.youtube.com/watch?v=jjnmICxvoVY
title: Last Resort | artist: Papa Roach | time: 3:21 | link: www.youtube.com/watch?v=j0lSpNtjPM8
title: One Last Breath | artist: Creed | time: 4:00 | link: www.youtube.com/watch?v=qnkuBUAwfe0
title: Nobody Wants to Be Lonely ) | artist: Ricky Martin | time: 4:11 | link: www.youtube.com/watch?v=KUmrNavXsd0
title: Could I Have This Kiss Forever | artist: Whitney Houston | time: 3:56 | link: www.youtube.com/watch?v=zsfj9j0kjoU
title: Mesmerize | artist: Ja Rule | time: 5:47 | link: www.youtube.com/watch?v=VcP96KbFIIU
title: I'm Real | artist: Jennifer Lopez | time: 4:05 | link: www.youtube.com/watch?v=Sjx9oSJDAVQ
